City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Rikitea,PF,79.02,clear sky,-23.1203,-134.9692,People ThankYou
8,Butaritari,KI,82.58,few clouds,3.0707,172.7902,Isles Sunset Lodge
9,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
13,Touros,BR,80.64,few clouds,-5.1989,-35.4608,INN NEW HORIZON
14,Atuona,PF,78.4,scattered clouds,-9.8,-139.0333,Villa Enata
15,Takoradi,GH,79.3,scattered clouds,4.8845,-1.7554,Raybow International Hotel
17,Pandan,PH,76.46,overcast clouds,14.0453,124.1694,Bonifacio Lodge
24,Vaini,TO,78.53,moderate rain,-21.2,-175.2,Keleti Beach Resort
30,Mtwara,TZ,76.53,light rain,-10.2667,40.1833,TIL Hotels Mtwara
34,Saint-Philippe,RE,80.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
38,Kapaa,US,80.47,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Mogadishu,SO,75.92,broken clouds,2.0371,45.3438,Hotel Juba
44,Inirida,CO,76.41,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
45,Busselton,AU,79.61,clear sky,-33.65,115.3333,Observatory Guest House
46,Puerto Ayora,EC,76.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
58,Hithadhoo,MV,81.55,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Aden,YE,76.59,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
66,Quatre Cocos,MU,79.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
69,Carnarvon,AU,88.41,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
74,Geraldton,AU,88.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
78,Ewa Beach,US,82.02,clear sky,21.3156,-158.0072,Uncle Junior Robert
82,Merauke,ID,84.22,overcast clouds,-8.4667,140.3333,
86,Mangaratiba,BR,80.02,overcast clouds,-22.9597,-44.0406,Portobello Resort & Safari
90,Nelson Bay,AU,76.28,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
98,Sao Domingos,BR,75.38,moderate rain,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
102,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
108,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
115,Lorengau,PG,84.31,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
122,Faanui,PF,80.71,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
125,Nhulunbuy,AU,84.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
131,Sao Joao Da Barra,BR,76.6,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
133,Hilo,US,78.62,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
140,Isangel,VU,76.78,light rain,-19.55,169.2667,Tanna Lodge
142,Young,UY,76.23,overcast clouds,-32.6833,-57.6333,Posada Gira el Sol
143,Acapulco,MX,82.22,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
144,Manaure,CO,79.09,few clouds,11.7751,-72.4445,Hotel Palaaima
145,Pochutla,MX,84.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
146,Kirakira,SB,83.7,overcast clouds,-10.4544,161.9205,SanBiz Lodge
147,Mambajao,PH,79.02,overcast clouds,9.2504,124.7156,SomeWhere Else boutique resort
152,Xai-Xai,MZ,77.18,light rain,-25.0519,33.6442,Complexo da Familia
160,Arraial Do Cabo,BR,76.66,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
166,Nabire,ID,81.68,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
168,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
169,Sungairaya,ID,76.51,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
171,Tanete,ID,79.65,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
176,Barra Do Garcas,BR,76.03,overcast clouds,-15.89,-52.2567,Pousada Tropical
178,Atakpame,TG,75.7,clear sky,7.5333,1.1333,Hôtel sahélien
179,Kavieng,PG,83.23,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
183,Maragogi,BR,78.82,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
184,Lazaro Cardenas,MX,77.77,clear sky,17.9583,-102.2,quinta antigua
192,San Rafael Del Sur,NI,86.07,clear sky,11.8485,-86.4384,Hospedaje El Chino
193,Manokwari,ID,81.63,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
194,Alyangula,AU,78.67,light rain,-13.8483,136.4192,Groote Eylandt Lodge
196,Champerico,GT,88.34,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
198,Banda Aceh,ID,77.61,light rain,5.5577,95.3222,Sulthan Hotel International
200,Savelugu,GH,76.84,clear sky,9.6244,-0.8253,Yoo Naa's Palace
203,Panaba,MX,76.62,scattered clouds,21.2833,-88.2667,Hotel California
204,Bajil,YE,75.85,clear sky,15.0584,43.2851,فندق حضرموت
209,Pantai Remis,MY,75.06,scattered clouds,4.4557,100.6288,Leisure Homestay
213,Tual,ID,83.73,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
223,Buala,SB,83.37,light rain,-8.145,159.5921,Maringe Lagoon Lodge
233,Calamar,CO,81.86,few clouds,10.2511,-74.9146,Hostal Katyalex
234,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
238,Saint-Pierre,RE,80.24,broken clouds,-21.3393,55.4781,Lindsey Hôtel
246,Cockburn Town,TC,75.99,clear sky,21.4612,-71.1419,Osprey Beach Hotel
251,Maningrida,AU,82.87,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
253,Moron,AR,76.96,overcast clouds,-34.6534,-58.6198,Hotel Morón
255,Coruripe,BR,78.94,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
257,Tadine,NC,83.17,heavy intensity rain,-21.55,167.8833,
260,Port Moresby,PG,84.31,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
275,Enugu,NG,75.38,clear sky,6.4402,7.4943,Bestchoice Hotel & Suites Enugu
288,Puerto Carreno,CO,85.37,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
291,Namatanai,PG,84.42,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
295,Noumea,NC,89.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
301,Sorong,ID,83.01,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
305,San Andres,CO,80.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
308,Puerto Escondido,MX,80.13,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
316,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
317,Luganville,VU,80.17,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
318,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
320,Camocim,BR,77.92,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
327,Roebourne,AU,88.5,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
333,Mahebourg,MU,79.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
339,Neiafu,TO,80.69,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
341,Ahipara,NZ,78.1,light rain,-35.1667,173.1667,Ahipara Holiday Park
342,Carutapera,BR,75.94,light rain,-1.195,-46.02,Lidera
345,Cananeia,BR,76.86,moderate rain,-25.0147,-47.9267,Pousada Ancoradouro
346,Swan Hill,AU,75.83,broken clouds,-35.3378,143.5544,Lazy River Motor Inn
351,Sabang,ID,81.93,overcast clouds,5.8933,95.3214,Hotel Citra
358,Vao,NC,80.17,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
361,Nioro,GM,78.4,clear sky,13.35,-15.75,
364,San Policarpo,PH,79.83,overcast clouds,12.1791,125.5072,Agapita M. Nicart
366,Luanda,AO,75.2,few clouds,-8.8368,13.2343,Hotel Fórum
368,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
377,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
383,Stabat,ID,75.4,overcast clouds,3.761,98.4513,Link VII damai
387,Florianopolis,BR,77.38,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
388,Port Hedland,AU,91.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
394,Salinopolis,BR,78.42,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
405,Naranjito,EC,82.08,moderate rain,-2.2167,-79.4833,canton marcelino maridueña
411,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
413,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
417,Bac Lieu,VN,78.17,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
432,Acarau,BR,78.94,broken clouds,-2.8856,-40.12,castelo pizzaria
437,El Paujil,CO,76.89,very heavy rain,1.5701,-75.3286,Hostal La Reina
438,Palmas,BR,80.47,few clouds,-10.2128,-48.3603,Hotel Lago da Palma
439,Santa Isabel Do Rio Negro,BR,75.11,overcast clouds,-0.4139,-65.0192,Hotel GSA
441,Emerald,AU,80.35,clear sky,-23.5333,148.1667,The Irish Village
442,Oistins,BB,77.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
450,Mount Isa,AU,83.97,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
452,Bowen,AU,82.24,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
454,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
455,Rayong,TH,79.03,broken clouds,12.8333,101.4333,Suan Palm Garden View Hotel
461,Rurrenabaque,BO,79.29,broken clouds,-14.4413,-67.5278,Casa de Campo
464,Dingle,PH,76.06,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
465,Sampit,ID,75.51,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
467,Ngunguru,NZ,75.16,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
469,Monrovia,LR,78.57,scattered clouds,6.3005,-10.7969,Sunset Inn
