City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Pevek,RU,69.7008,170.3133,-22.92,100,95,5.48,overcast clouds,2022-02-05 00:01:30
1,Eureka,US,40.8021,-124.1637,60.67,81,97,5.01,overcast clouds,2022-02-05 00:01:05
2,Lebu,CL,-37.6167,-73.65,58.35,85,2,16.78,clear sky,2022-02-05 00:06:27
3,New Norfolk,AU,-42.7826,147.0587,65.75,59,45,1.01,scattered clouds,2022-02-05 00:02:57
4,Rikitea,PF,-23.1203,-134.9692,79.02,67,5,5.97,clear sky,2022-02-05 00:05:31
5,Norman Wells,CA,65.282,-126.8329,-13.52,87,100,10.27,overcast clouds,2022-02-05 00:06:28
6,Port Alfred,ZA,-33.5906,26.891,68.61,80,98,6.35,overcast clouds,2022-02-05 00:05:34
7,Albany,US,42.6001,-73.9662,21.58,86,100,1.99,snow,2022-02-05 00:04:56
8,Butaritari,KI,3.0707,172.7902,82.58,76,13,19.95,few clouds,2022-02-05 00:05:28
9,Bathsheba,BB,13.2167,-59.5167,77.61,69,20,10.36,few clouds,2022-02-05 00:05:32
10,Chotila,IN,22.4167,71.1833,59.52,57,0,5.39,clear sky,2022-02-05 00:06:29
11,Luderitz,NA,-26.6481,15.1594,67.17,74,9,4.18,clear sky,2022-02-05 00:01:02
12,Tasiilaq,GL,65.6145,-37.6368,24.96,75,100,39.1,overcast clouds,2022-02-05 00:06:29
13,Touros,BR,-5.1989,-35.4608,80.64,72,11,12.93,few clouds,2022-02-05 00:06:29
14,Atuona,PF,-9.8,-139.0333,78.4,77,25,16.58,scattered clouds,2022-02-05 00:06:30
15,Takoradi,GH,4.8845,-1.7554,79.3,82,26,5.7,scattered clouds,2022-02-05 00:05:36
16,Gao,ML,16.6362,1.637,60.75,14,0,11.83,clear sky,2022-02-05 00:01:56
17,Pandan,PH,14.0453,124.1694,76.46,86,100,16.58,overcast clouds,2022-02-05 00:06:30
18,Jamestown,US,42.097,-79.2353,19.29,51,100,3.44,overcast clouds,2022-02-05 00:05:31
19,Dalbandin,PK,28.8947,64.4101,50.43,20,0,4.18,clear sky,2022-02-05 00:06:31
20,Maldonado,UY,-34.6667,-54.9167,69.22,94,34,3.04,scattered clouds,2022-02-05 00:06:31
21,Berdigestyakh,RU,62.0989,126.6992,-28.26,100,96,2.71,overcast clouds,2022-02-05 00:06:32
22,Parbhani,IN,19.2667,76.7833,59.77,27,60,5.57,broken clouds,2022-02-05 00:06:32
23,Ushuaia,AR,-54.8,-68.3,51.46,62,0,11.5,clear sky,2022-02-05 00:05:30
24,Vaini,TO,-21.2,-175.2,78.53,87,100,20.92,moderate rain,2022-02-05 00:05:28
25,North Bend,US,43.4065,-124.2243,53.08,92,100,4.61,overcast clouds,2022-02-05 00:06:33
26,Castro,BR,-24.7911,-50.0119,66.42,98,92,3.78,overcast clouds,2022-02-05 00:05:21
27,Copiapo,CL,-27.3667,-70.3333,71.22,50,0,5.39,clear sky,2022-02-05 00:03:58
28,Tuktoyaktuk,CA,69.4541,-133.0374,-20.85,95,19,13.76,few clouds,2022-02-05 00:06:33
29,Chiredzi,ZW,-21.05,31.6667,70.47,93,80,11.41,light rain,2022-02-05 00:06:34
30,Mtwara,TZ,-10.2667,40.1833,76.53,89,94,7.45,light rain,2022-02-05 00:06:34
31,Yuci,CN,37.6803,112.7319,8.35,66,0,2.24,clear sky,2022-02-05 00:06:34
32,Khatanga,RU,71.9667,102.5,-36.54,100,80,2.75,broken clouds,2022-02-05 00:06:35
33,Bredasdorp,ZA,-34.5322,20.0403,63.28,60,45,14.74,scattered clouds,2022-02-05 00:06:35
34,Saint-Philippe,RE,-21.3585,55.7679,80.15,86,100,25.41,light rain,2022-02-05 00:05:39
35,Chokurdakh,RU,70.6333,147.9167,-31.16,100,26,2.19,scattered clouds,2022-02-05 00:06:35
36,Zyryanovsk,KZ,49.7386,84.2719,-17.54,99,73,2.1,broken clouds,2022-02-05 00:06:36
37,Lianran,CN,24.9227,102.485,39.42,90,0,2.82,clear sky,2022-02-05 00:06:36
38,Kapaa,US,22.0752,-159.319,80.47,72,40,1.99,scattered clouds,2022-02-05 00:06:37
39,Balakhninskiy,RU,58.0106,114.2769,-4.05,100,100,2.42,overcast clouds,2022-02-05 00:06:37
40,Punta Arenas,CL,-53.15,-70.9167,53.11,58,12,4.09,few clouds,2022-02-05 00:01:41
41,Muzhi,RU,65.3667,64.6667,5.22,83,48,8.86,scattered clouds,2022-02-05 00:06:37
42,Mogadishu,SO,2.0371,45.3438,75.92,86,56,18.77,broken clouds,2022-02-05 00:06:38
43,Korla,CN,41.7597,86.1469,25.21,45,100,5.17,overcast clouds,2022-02-04 23:57:20
44,Inirida,CO,3.8653,-67.9239,76.41,86,79,3.02,broken clouds,2022-02-05 00:06:38
45,Busselton,AU,-33.65,115.3333,79.61,37,1,2.48,clear sky,2022-02-05 00:06:38
46,Puerto Ayora,EC,-0.7393,-90.3518,76.55,91,81,3.0,broken clouds,2022-02-05 00:02:58
47,Shache,CN,38.4167,77.2406,22.06,49,27,3.65,scattered clouds,2022-02-05 00:07:39
48,Mataura,NZ,-46.1927,168.8643,58.48,43,86,3.22,overcast clouds,2022-02-05 00:07:40
49,Esperance,AU,-33.8667,121.9,71.83,61,2,13.44,clear sky,2022-02-05 00:02:47
50,Bengkulu,ID,-3.8004,102.2655,73.27,92,100,3.36,light rain,2022-02-05 00:07:40
51,Rio Grande,BR,-32.035,-52.0986,74.95,90,18,8.99,few clouds,2022-02-05 00:07:41
52,Strabychovo,UA,48.3925,22.5431,35.62,92,100,4.99,overcast clouds,2022-02-05 00:07:41
53,Wajima,JP,37.4,136.9,33.15,78,100,20.6,light snow,2022-02-05 00:07:41
54,Yulara,AU,-25.2406,130.9889,74.57,29,0,10.74,clear sky,2022-02-05 00:01:40
55,Mar Del Plata,AR,-38.0023,-57.5575,66.87,85,100,7.0,light rain,2022-02-05 00:06:52
56,Zunyi,CN,27.6867,106.9072,38.07,81,100,6.31,overcast clouds,2022-02-05 00:07:42
57,Gayeri,BF,12.6497,0.4931,67.23,15,3,9.28,clear sky,2022-02-05 00:07:42
58,Hithadhoo,MV,-0.6,73.0833,81.55,73,85,11.43,overcast clouds,2022-02-05 00:05:43
59,Hannibal,US,39.7084,-91.3585,25.52,50,0,6.91,clear sky,2022-02-05 00:07:43
60,Aden,YE,12.7794,45.0367,76.59,52,35,2.82,scattered clouds,2022-02-05 00:07:43
61,Hobart,AU,-42.8794,147.3294,66.11,78,75,5.75,broken clouds,2022-02-05 00:07:43
62,Okha,RU,53.5739,142.9478,2.28,92,100,21.68,overcast clouds,2022-02-05 00:07:44
63,Batagay-Alyta,RU,67.8006,130.4114,-25.92,98,15,2.82,few clouds,2022-02-05 00:01:10
64,Hermanus,ZA,-34.4187,19.2345,63.81,69,1,18.5,clear sky,2022-02-05 00:07:44
65,Sitka,US,57.0531,-135.33,42.69,87,100,10.36,light rain,2022-02-05 00:07:45
66,Quatre Cocos,MU,-20.2078,57.7625,79.09,86,98,17.07,moderate rain,2022-02-05 00:02:55
67,Kodiak,US,57.79,-152.4072,38.71,81,100,5.75,overcast clouds,2022-02-05 00:07:45
68,Porto-Vecchio,FR,41.591,9.2795,51.46,87,75,12.66,broken clouds,2022-02-05 00:04:01
69,Carnarvon,AU,-24.8667,113.6333,88.41,33,80,10.4,broken clouds,2022-02-05 00:01:36
70,Bluff,NZ,-46.6,168.3333,58.8,57,90,5.57,overcast clouds,2022-02-05 00:01:10
71,Lata,PT,40.1629,-8.3327,48.06,96,100,2.26,overcast clouds,2022-02-05 00:07:47
72,Yellowknife,CA,62.456,-114.3525,-25.58,83,69,3.0,broken clouds,2022-02-05 00:06:55
73,Hasaki,JP,35.7333,140.8333,39.6,37,39,22.84,scattered clouds,2022-02-05 00:07:47
74,Geraldton,AU,-28.7667,114.6,88.12,16,0,10.36,clear sky,2022-02-04 23:58:36
75,San Quintin,MX,30.4833,-115.95,60.87,41,1,8.88,clear sky,2022-02-05 00:07:47
76,Berlevag,NO,70.8578,29.0864,22.46,86,100,31.43,light snow,2022-02-05 00:07:48
77,Hokitika,NZ,-42.7167,170.9667,62.47,81,100,7.56,overcast clouds,2022-02-05 00:07:48
78,Ewa Beach,US,21.3156,-158.0072,82.02,56,0,8.01,clear sky,2022-02-05 00:07:48
79,Joensuu,FI,62.6012,29.7632,20.26,91,100,4.0,light shower snow,2022-02-05 00:07:49
80,Nikolskoye,RU,59.7035,30.7861,17.8,89,80,11.83,broken clouds,2022-02-05 00:07:49
81,Belaya Gora,RU,68.5333,146.4167,-39.44,100,49,0.81,scattered clouds,2022-02-05 00:07:49
82,Merauke,ID,-8.4667,140.3333,84.22,74,90,14.67,overcast clouds,2022-02-05 00:07:50
83,Abbeville,FR,50.1,1.8333,39.49,86,51,9.46,broken clouds,2022-02-05 00:07:50
84,Qasigiannguit,GL,68.8193,-51.1922,12.45,90,100,6.02,overcast clouds,2022-02-05 00:07:50
85,Phayakkhaphum Phisai,TH,15.5163,103.1937,66.42,72,39,11.18,scattered clouds,2022-02-05 00:07:51
86,Mangaratiba,BR,-22.9597,-44.0406,80.02,90,95,1.61,overcast clouds,2022-02-05 00:07:51
87,Clyde River,CA,70.4692,-68.5914,-7.37,77,100,5.75,light snow,2022-02-05 00:07:51
88,Hammerfest,NO,70.6634,23.6821,14.45,85,100,17.27,overcast clouds,2022-02-05 00:07:52
89,Saskylakh,RU,71.9167,114.0833,-7.74,99,100,5.57,overcast clouds,2022-02-05 00:07:52
90,Nelson Bay,AU,-32.7167,152.15,76.28,65,86,4.0,overcast clouds,2022-02-05 00:07:52
91,Atar,MR,20.5169,-13.0499,70.9,11,16,5.91,few clouds,2022-02-05 00:08:53
92,Luena,AO,-11.7833,19.9167,61.56,95,100,6.26,overcast clouds,2022-02-05 00:08:53
93,Hofn,IS,64.2539,-15.2082,24.94,64,35,17.36,scattered clouds,2022-02-05 00:01:12
94,Makat,KZ,47.6469,53.3463,31.62,92,100,8.12,overcast clouds,2022-02-05 00:08:53
95,Vardo,NO,70.3705,31.1107,19.6,93,100,32.28,light snow,2022-02-05 00:08:54
96,Pisco,PE,-13.7,-76.2167,68.05,83,0,18.41,clear sky,2022-02-05 00:08:54
97,Klyuchi,RU,52.2667,79.1667,1.38,85,27,7.96,scattered clouds,2022-02-05 00:08:55
98,Sao Domingos,BR,-13.3983,-46.3183,75.38,78,97,2.08,moderate rain,2022-02-05 00:08:55
99,Batie,BF,9.8833,-2.9167,74.41,15,6,4.18,clear sky,2022-02-05 00:08:55
100,Buraydah,SA,26.326,43.975,56.12,36,0,8.39,clear sky,2022-02-05 00:08:56
101,Juegang,CN,32.3174,121.1855,38.91,57,17,12.12,few clouds,2022-02-05 00:08:56
102,Georgetown,MY,5.4112,100.3354,78.73,88,20,5.75,few clouds,2022-02-05 00:06:18
